cmip5-label,cmip5-metafor-id,cmip6-detail-property-id,mapping-qc-status
Ocean,Ocean,,0
Ocean > Advection,OceanAdvection,,0
Ocean > Boundary Forcing,OceanBoundaryForcing,,0
Ocean > Boundary Forcing > Tracers,OceanBoundForcingTracers,,0
Ocean > Lateral Physics,OceanLateralPhysics,,0
Ocean > Lateral Physics > Momentum,OceanLateralPhysMomentum,,0
Ocean > Lateral Physics > Tracers,OceanLateralPhysTracers,,0
Ocean > Upper & Lower Boundaries,OceanUpAndLowBoundaries,,0
Ocean > Vertical Physics,OceanVerticalPhysics,,0
Ocean > Vertical Physics > Interior Mixing,OceanInteriorMixing,,0
Ocean > Vertical Physics > Mixed Layer,OceanMixedLayer,,0