cmip5-property-type,cmip5-component,cmip5-property,cmip6-detail-property-id,mapping-qc-status
,,,,
Scientific Properties,Ocean > Vertical Physics,Convection,,0
Scientific Properties,Ocean > Vertical Physics,Tide-induced Mixing,,0
,,,,
Scientific Properties,Ocean > Vertical Physics > Interior Mixing,Momentum > Background Coefficient,,0
Scientific Properties,Ocean > Vertical Physics > Interior Mixing,Momentum > Background Type,,0
Scientific Properties,Ocean > Vertical Physics > Interior Mixing,Momentum > Mixing Coefficient,,0
Scientific Properties,Ocean > Vertical Physics > Interior Mixing,Momentum > Scheme Type,,0
Scientific Properties,Ocean > Vertical Physics > Interior Mixing,Tracers > Background Coefficient,,0
Scientific Properties,Ocean > Vertical Physics > Interior Mixing,Tracers > Background Type,,0
Scientific Properties,Ocean > Vertical Physics > Interior Mixing,Tracers > Mixing Coefficient,,0
Scientific Properties,Ocean > Vertical Physics > Interior Mixing,Tracers > Scheme Type,,0
,,,,
Scientific Properties,Ocean > Vertical Physics > Mixed Layer,Momentum > Background Value,,0
Scientific Properties,Ocean > Vertical Physics > Mixed Layer,Momentum > Scheme Type,,0
Scientific Properties,Ocean > Vertical Physics > Mixed Layer,Tracers > Background Coefficient,,0
Scientific Properties,Ocean > Vertical Physics > Mixed Layer,Tracers > Scheme Type,,0