CMIP5 component [> process],CMIP5 property,CMIP6 Specialization ID
,,
Sea Ice,Basic Approximations,
Sea Ice,List Of Prognostic Variables,cmip6.seaice.key_properties.variables.prognostic
Sea Ice,Sea Ice Representation > Multi- Levels Scheme,cmip6.seaice.grid.discretisation.vertical.layering
Sea Ice,Sea Ice Representation > Scheme Type,
Sea Ice,Time Stepping Framework > Dynamics Time Step,cmip6.seaice.grid.discretisation.horizontal.dynamics_time_step
Sea Ice,Time Stepping Framework > Method,
Sea Ice,Time Stepping Framework > Thermodynamics Time Step,cmip6.seaice.grid.discretisation.horizontal.thermodynamics_time_step
Sea Ice,Time Stepping Framework > Time Step,
,,
Sea Ice > Dynamics,Advection,
Sea Ice > Dynamics,Advection Detail,
Sea Ice > Dynamics,Advection Scheme,cmip6.seaice.grid.discretisation.horizontal.scheme
Sea Ice > Dynamics,Advection Type,cmip6.seaice.dynamics.horizontal_transport
Sea Ice > Dynamics,Horizontal Discretization Grid,cmip6.seaice.grid.discretisation.horizontal.grid
Sea Ice > Dynamics,Redistribution > Ice Strength Formulation,cmip6.seaice.dynamics.ice_strength_formulation
Sea Ice > Dynamics,Redistribution > Rafting,
Sea Ice > Dynamics,Redistribution > Type,cmip6.seaice.dynamics.redistribution
Sea Ice > Dynamics,Rheology,cmip6.seaice.dynamics.rheology
,,
Sea Ice > Thermodynamics,Ice > Brine Inclusions,
Sea Ice > Thermodynamics,Ice > Ocean To Ice Basal Heat Flux,cmip6.seaice.thermodynamics.energy.basal_heat_flux
Sea Ice > Thermodynamics,Ice > Processes,
Sea Ice > Thermodynamics,Ice > Transport In Thickness Space,cmip6.seaice.dynamics.transport_in_thickness_space
Sea Ice > Thermodynamics,Ice > Vertical Heat Diffusion,cmip6.seaice.thermodynamics.energy.heat_diffusion
Sea Ice > Thermodynamics,New Ice Formation,cmip6.seaice.thermodynamics.mass.new_ice_formation
Sea Ice > Thermodynamics,Snow > Heat Diffusion,cmip6.seaice.thermodynamics.snow_processes.heat_diffusion
Sea Ice > Thermodynamics,Snow > Scheme Type,cmip6.seaice.thermodynamics.snow_processes.redistribution
Sea Ice > Thermodynamics,Snow > Snow Conductivity,
Sea Ice > Thermodynamics,Snow > Snow Scheme,cmip6.seaice.thermodynamics.snow_processes.snow_ice_formation_scheme
Sea Ice > Thermodynamics,Surface Albedo,cmip6.seaice.radiative_processes.surface_albedo
Sea Ice > Thermodynamics,Water Ponds,cmip6.seaice.thermodynamics.melt_ponds.formulation